target,Year,number,IF,PF,IF_proportion
depressed,1987,plural,5.2122183648504826e-08,2.281809939409994e-09,0.9580580433728146
depressed,1987,singular,6.464223594499736e-08,3.5225927730309076e-10,0.9945801675034438
depressed,1988,plural,5.2840615438753964e-08,2.757231205257377e-09,0.9504075900113234
depressed,1988,singular,6.341989384444398e-08,4.028218354117692e-10,0.9936884253338203
depressed,1989,plural,5.49608947559526e-08,3.2310691265381922e-09,0.9444756816755178
depressed,1989,singular,6.223443500224285e-08,4.877790215391492e-10,0.9922231855311389
depressed,1990,plural,5.6752688136287236e-08,3.759052053758134e-09,0.9378789629590503
depressed,1990,singular,6.025943071514512e-08,6.246055617165068e-10,0.9897410618626499
depressed,1991,plural,5.6227289998592566e-08,4.223794171563457e-09,0.9301287275564085
depressed,1991,singular,5.7387378404882845e-08,6.859289604564468e-10,0.9881885673199002
depressed,1992,plural,5.825236927746248e-08,5.303727869586185e-09,0.9165504474367733
depressed,1992,singular,5.522854605390291e-08,7.888584706096578e-10,0.9859176183312017
depressed,1993,plural,6.344315498349065e-08,6.915071721585215e-09,0.901716230703604
depressed,1993,singular,5.780400919823999e-08,1.0957077546867667e-09,0.9813970624754874
depressed,1994,plural,6.647318124513341e-08,8.416844364335572e-09,0.8876106090786093
depressed,1994,singular,5.796939614047656e-08,1.347302119076537e-09,0.9772862927538359
depressed,1995,plural,7.047075761030492e-08,1.0229780260979332e-08,0.8732377685351288
depressed,1995,singular,5.872999508937937e-08,1.664881637315168e-09,0.9724333962158864
depressed,1996,plural,7.264389572420831e-08,1.2221239766217553e-08,0.8559922199429434
depressed,1996,singular,6.065640485124796e-08,1.968431972976248e-09,0.9685678706277311
depressed,1997,plural,7.570127585105573e-08,1.4480554469794732e-08,0.8394293571301938
depressed,1997,singular,6.224528600487898e-08,2.290959993140567e-09,0.9645011890959558
depressed,1998,plural,8.097957403054221e-08,1.7542544052316445e-08,0.82194308858075
depressed,1998,singular,6.405171098273448e-08,2.502284474863765e-09,0.9624021900164059
depressed,1999,plural,8.368974744956047e-08,2.033102790883439e-08,0.8045483910422169
depressed,1999,singular,6.529132231694999e-08,2.816926279537922e-09,0.9586404534313164
depressed,2000,plural,8.330056390702469e-08,2.1790918910572343e-08,0.7926480973877402
depressed,2000,singular,6.388033467276597e-08,2.96881500335847e-09,0.9555893378189252
depressed,2001,plural,8.533575522408553e-08,2.4775347487856643e-08,0.7749968270441304
depressed,2001,singular,6.415820357525653e-08,3.389055829623138e-09,0.9498268936522047
depressed,2002,plural,8.561839186833304e-08,2.8231896566564633e-08,0.7520261305028814
depressed,2002,singular,6.571379580171716e-08,3.9231077434262065e-09,0.9436633804246769
depressed,2003,plural,8.671348540799175e-08,3.0871008352814245e-08,0.7374568077350998
depressed,2003,singular,6.619101558921363e-08,4.226442053477188e-09,0.9399801953242501
depressed,2004,plural,9.118284692379217e-08,3.3466326598841085e-08,0.7315158564387559
depressed,2004,singular,6.770982910861026e-08,4.4894128097589765e-09,0.9378191142943737
depressed,2005,plural,9.061531309433641e-08,3.52945259050687e-08,0.7196841312358802
depressed,2005,singular,6.8701322472212e-08,4.893925772567595e-09,0.9335021500805286
depressed,2006,plural,9.543220613750236e-08,3.9112527565927335e-08,0.7092972241325987
depressed,2006,singular,7.430257349077302e-08,5.498290457848855e-09,0.9310998630116484
depressed,2007,plural,1.0110313399179308e-07,4.5373598973290955e-08,0.6902334039351714
depressed,2007,singular,7.577297367333814e-08,6.0086688006119215e-09,0.9265279026093678
depressed,2008,plural,1.0468675221935493e-07,4.9409920726312916e-08,0.6793576410067328
depressed,2008,singular,7.859528697703613e-08,6.093970978631497e-09,0.9280431647916728
depressed,2009,plural,1.065146000606936e-07,5.0482342877395636e-08,0.6784501536612529
depressed,2009,singular,8.168725936944351e-08,6.217024926615165e-09,0.9292750634806782
depressed,2010,plural,1.1047764810915136e-07,5.192512781653543e-08,0.6802694564759433
depressed,2010,singular,8.349592458703879e-08,6.4724257065051916e-09,0.9280588597502644
depressed,2011,plural,1.0741824395056808e-07,5.392568778818584e-08,0.665771825397799
depressed,2011,singular,9.107992886876155e-08,6.843950422259175e-09,0.9301094843075038
depressed,2012,plural,1.0818857784248135e-07,5.6532646246816e-08,0.656798044335993
depressed,2012,singular,9.211069189924665e-08,7.286708696747317e-09,0.9266911543656505
depressed,2013,plural,1.0326719949002186e-07,5.7158232940374935e-08,0.6437084066133094
depressed,2013,singular,8.83482625470476e-08,7.585879036042797e-09,0.9209261800766464
depressed,2014,plural,9.499112404601614e-08,5.5149483456164364e-08,0.6326810955832624
depressed,2014,singular,8.495110595926496e-08,7.818808394383886e-09,0.9157182751664752
depressed,2015,plural,8.770923847529439e-08,5.503964572994847e-08,0.6144302910920617
depressed,2015,singular,7.936624919174003e-08,8.210009941730538e-09,0.9062530185353307
depressed,2016,plural,8.089464894770312e-08,5.699003275643528e-08,0.5866833643006132
depressed,2016,singular,7.436405167839308e-08,7.844820792968221e-09,0.9045745239274376
depressed,2017,plural,7.593422068907786e-08,5.856463580755644e-08,0.5645714964943069
depressed,2017,singular,7.263489602375256e-08,8.029881056377993e-09,0.9004536881270832
depressed,2018,plural,7.15271383455729e-08,5.959912101616282e-08,0.5454829466937834
depressed,2018,singular,6.150580844632715e-08,8.063013190451331e-09,0.884100190275629
depressed,2019,plural,6.643283612106643e-08,5.978091888181325e-08,0.5263517920019946
depressed,2019,singular,5.8702109839714474e-08,7.938818491481925e-09,0.8808717301771808
diabetic,1980,plural,2.0762191648466502e-09,1.754160689720103e-08,0.10583329459033533
diabetic,1980,singular,7.573651737504048e-09,8.358636195891581e-09,0.4753649801689145
